
id,name,description,desired_role,start_date,end_date,HTML,CSS,JavaScript,TypeScript,Python,Ruby,PHP,Java,C#,C++,Go,Rust,Swift,Kotlin,React,Vue,Angular,Node.js,Express,Django,Flask,Rails,Laravel,Spring,.NET,AWS,Azure,GCP,Docker,Kubernetes,MySQL,PostgreSQL,MongoDB,Git,Linux,Agile,Scrum
29,eラーニングシステム実装,"現在進行中の案件においてはパフォーマンス改善やレビューなどに取り組んでいます。
[実施内容]
パフォーマンス改善
レビュー
システム設計
チームマネジメント
デプロイ
セキュリティ強化",PM,2024-07-03,2024-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30,金融システム開発,本プロジェクトではパフォーマンス改善、テスト、インフラ構築、実装やUI/UX設計に取り組んでいる。目的はレスポンス時間短縮である。,フルスタックエンジニア,2024-11-27,,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
31,在庫管理システム構築,このプロジェクトでは要件分析、クラウド移行やデプロイに取り組んでいます。目的は開発効率向上です。,UI/UXデザイナー,2024-01-21,2025-09-16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
32,AIチャットボット開発,本プロジェクトではクラウド移行、レビュー、リファクタリング、タスク管理や自動テスト導入に取り組んでいる。目的は性能向上である。,テクニカルリード,2024-01-26,2024-05-18,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
33,AIチャットボット改善,技術選定や設計レビューを行っています。また、コーディング、パフォーマンス改善、クラウド移行、システム設計やレビューにも取り組んでいます。,UI/UXデザイナー,2024-11-23,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,サブスク管理サービス構築,このプロジェクトではコーディング、実装、要件定義やデータベース設計に取り組んでいます。,フロントエンドエンジニア,2025-06-15,2026-11-05,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,HRテックサービス改善,"当プロジェクトではタスク管理やチームマネジメントなどに取り組んでいます。
[主な作業]
タスク管理
チームマネジメント
要件定義",インフラエンジニア,2025-10-28,2026-07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0
36,BIツール導入導入,"このプロジェクトではインフラ構築やリファクタリングなどに取り組んでいます。
[実施内容]
インフラ構築
リファクタリング
セキュリティ強化
クラウド移行
運用保守",エンジニアリングマネージャ,2024-08-21,2026-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
37,ECプラットフォーム導入,"現在進行中の案件においてはデータ分析や実装などに取り組んでいます。
[主な業務]
データ分析
実装
アーキテクチャ設計
要件定義
これらの取り組みにより、レスポンス時間短縮を目指しています。",SE,2024-08-15,2025-02-05,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
38,データ分析基盤開発,システム設計や実装を中心に行っている。また、データベース設計、CI/CD構築、要件分析やセキュリティ強化にも取り組んでいる。目指しているのはバグ発生率低減である。,SE,2024-05-19,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
39,チャットボット開発,このプロジェクトでは実装、データ分析、タスク管理、クラウド移行やセキュリティ強化に取り組んでいます。,PM,2025-02-02,2025-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
40,教育向けアプリ導入,UI/UX設計、チームマネジメント、CI/CD構築、システム設計、ドキュメント作成やレビューなどの開発に取り組んでいます。目指しているのはユーザー満足度向上です。,QAエンジニア,2024-01-16,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,eラーニングシステム構築,技術選定や設計レビューを行っている。,QAエンジニア,2024-09-14,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
42,不動産プラットフォーム開発,当プロジェクトではCI/CD構築、データベース設計、データ分析や要件定義に取り組んでいます。,UI/UXデザイナー,2025-04-17,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
43,教育向けアプリ設計,当プロジェクトではデータベース設計、レビューやインフラ構築に取り組んでいる。目的はユーザビリティ向上である。,技術リーダー,2024-08-21,2024-12-04,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
44,予約管理システム実装,このプロジェクトではシステム設計、実装、UI/UX設計、技術選定やレビューに取り組んでいます。,エンジニアリングマネージャ,2024-11-04,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
45,サブスク管理サービス実装,技術選定や設計レビューを行っている。また、インフラ構築、コーディング、要件定義やUI/UX設計にも取り組んでいる。,UI/UXデザイナー,2025-11-05,2026-08-27,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
46,在庫管理システム実装,技術選定や設計レビューを行っています。また、クラウド移行、データベース設計、デプロイ、実装、コーディングやセキュリティ強化にも取り組んでいます。目指しているのはバグ発生率低減です。,インフラエンジニア,2024-10-15,2026-08-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0
47,不動産プラットフォーム導入,主な業務はデプロイ、自動テスト導入やパフォーマンス改善です。,PM,2025-04-19,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
48,音声認識システム実装,当プロジェクトでは要件分析、実装、要件定義、技術選定やシステム設計に取り組んでいます。,PM,2024-07-02,2025-08-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,eラーニングシステム改善,現在進行中の案件においてはデータ分析、CI/CD構築、クラウド移行、運用保守やデータベース設計に取り組んでいます。目的は運用コスト削減です。,QAエンジニア,2025-05-22,2026-09-25,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
50,医療情報システム導入,"当プロジェクトではチームマネジメントやリファクタリングなどに取り組んでいる。
[主な作業]
チームマネジメント
リファクタリング
アーキテクチャ設計
レビュー",データサイエンティスト,2024-01-25,2025-08-01,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
51,動画配信サービス構築,"当プロジェクトではデータ分析や自動テスト導入などに取り組んでいる。
[実施内容]
データ分析
自動テスト導入
チームマネジメント
リファクタリング",バックエンドエンジニア,2025-11-01,,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0
52,ブロックチェーン開発改善,"当プロジェクトでは要件分析やクラウド移行などに取り組んでいる。
[実施内容]
要件分析
クラウド移行
リファクタリング
運用保守",SE,2024-04-29,2025-10-21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
53,SNSアプリ実装,技術選定や設計レビューを行っている。また、ドキュメント作成、デプロイやクラウド移行にも取り組んでいる。,SE,2024-06-28,2024-09-15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
54,音声認識システム改善,当プロジェクトでは技術選定、テストやパフォーマンス改善に取り組んでいる。目的は開発効率向上である。,UI/UXデザイナー,2024-12-08,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
55,音声認識システム構築,現在進行中の案件においてはUI/UX設計、システム設計、自動テスト導入、チームマネジメント、クラウド移行やアーキテクチャ設計に取り組んでいます。目的はユーザー満足度向上です。,フルスタックエンジニア,2025-11-05,,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0
56,医療情報システム実装,"当プロジェクトでは自動テスト導入や運用保守などに取り組んでいます。
[主な業務]
自動テスト導入
運用保守
CI/CD構築
クラウド移行
コーディング
これらの取り組みにより、コスト削減を目指しています。",フロントエンドエンジニア,2025-11-10,2026-12-31,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,在庫管理システム設計,"本プロジェクトではアーキテクチャ設計やコーディングなどに取り組んでいる。
[実施内容]
アーキテクチャ設計
コーディング
運用保守
クラウド移行
セキュリティ強化",バックエンドエンジニア,2024-10-07,2025-10-27,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
58,ニュース配信アプリ実装,インフラ構築、レビューやアーキテクチャ設計などの開発に取り組んでいます。,インフラエンジニア,2024-04-19,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1
59,SNSアプリ導入,"このプロジェクトではタスク管理や自動テスト導入などに取り組んでいます。
[主な作業]
タスク管理
自動テスト導入
システム設計
要件定義
データベース設計
これらの取り組みにより、リリースサイクルの短縮を目指しています。",インフラエンジニア,2024-03-08,,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
60,チャットボット構築,このプロジェクトではタスク管理、データベース設計、ドキュメント作成、CI/CD構築や実装に取り組んでいます。,エンジニアリングマネージャ,2024-11-06,2025-02-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
61,グルメレビューアプリ導入,UI/UX設計、技術選定、システム設計、データ分析、レビューや実装などの開発に取り組んでいる。目指しているのはレスポンス時間短縮である。,PM,2024-05-09,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
62,ECプラットフォーム実装,当プロジェクトではデータ分析、UI/UX設計や自動テスト導入に取り組んでいます。目的はレスポンス時間短縮です。,フルスタックエンジニア,2024-11-29,,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0
63,クラウド移行プロジェクト実装,"現プロジェクトにおいてチームマネジメントや実装などに取り組んでいる。
[主な作業]
チームマネジメント
実装
セキュリティ強化
パフォーマンス改善
CI/CD構築
レビュー
これらの取り組みにより、ユーザー満足度向上を目指している。",バックエンドエンジニア,2024-05-23,,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0
64,セキュリティ強化プロジェクト改善,現プロジェクトにおいてUI/UX設計、アーキテクチャ設計、自動テスト導入や運用保守に取り組んでいる。目的はバグ発生率低減である。,UI/UXデザイナー,2024-06-12,2026-01-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
65,ニュース配信アプリ設計,技術選定や設計レビューを行っています。また、ドキュメント作成、テスト、クラウド移行、UI/UX設計、データ分析や実装にも取り組んでいます。目指しているのは品質改善です。,フロントエンドエンジニア,2024-03-04,2024-10-30,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,データ分析基盤改善,"本プロジェクトではCI/CD構築や要件定義などに取り組んでいる。
[実施内容]
CI/CD構築
要件定義
リファクタリング",エンジニアリングマネージャ,2024-02-12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
67,クラウド移行プロジェクト構築,本プロジェクトではシステム設計、運用保守、要件定義や要件分析に取り組んでいる。目的はレスポンス時間短縮である。,バックエンドエンジニア,2025-11-08,2026-12-31,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0
68,機械学習モデル開発導入,本プロジェクトではCI/CD構築、テスト、ドキュメント作成、データベース設計、実装やデプロイに取り組んでいる。目的は品質改善である。,UI/UXデザイナー,2024-11-05,2025-06-15,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
69,サブスク管理サービス改善,技術選定や設計レビューを行っています。目指しているのは運用コスト削減です。,インフラエンジニア,2024-12-04,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0
70,顧客管理システム設計,システム設計や実装を中心に行っています。目指しているのは品質改善です。,バックエンドエンジニア,2024-02-11,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0
71,チャットボット改善,"このプロジェクトではパフォーマンス改善やテストなどに取り組んでいます。
[主な業務]
パフォーマンス改善
テスト
セキュリティ強化
これらの取り組みにより、ユーザー満足度向上を目指しています。",フルスタックエンジニア,2024-02-09,,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1
72,ブロックチェーン開発構築,当プロジェクトではCI/CD構築、レビュー、運用保守、チームマネジメントやタスク管理に取り組んでいる。,フルスタックエンジニア,2025-09-04,2026-01-10,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
73,健康管理アプリ構築,"現在進行中の案件においてはチームマネジメントやUI/UX設計などに取り組んでいます。
[主な作業]
チームマネジメント
UI/UX設計
実装
テスト
運用保守
パフォーマンス改善
これらの取り組みにより、運用コスト削減を目指しています。",UI/UXデザイナー,2024-02-21,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
74,金融システム実装,現プロジェクトにおいて運用保守、技術選定、リファクタリング、CI/CD構築、データ分析やインフラ構築に取り組んでいる。,バックエンドエンジニア,2024-09-14,,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
75,セキュリティ強化プロジェクト設計,"現在進行中の案件においてはレビューやデプロイなどに取り組んでいます。
[主な作業]
レビュー
デプロイ
アーキテクチャ設計",PM,2024-04-05,2025-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
76,動画配信サービス設計,システム設計や実装を中心に行っている。目指しているのは開発効率向上である。,フロントエンドエンジニア,2025-06-24,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
77,チャットボット設計,主な業務はデータ分析、アーキテクチャ設計、チームマネジメント、タスク管理、自動テスト導入やデプロイです。目指しているのは運用コスト削減です。,UI/UXデザイナー,2025-05-12,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
78,音声認識システム開発,本プロジェクトでは技術選定、要件定義、CI/CD構築や運用保守に取り組んでいる。,エンジニアリングマネージャ,2025-05-06,2026-10-14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
79,機械学習モデル開発開発,要件分析、レビュー、コーディングやUI/UX設計などの開発に取り組んでいます。,フルスタックエンジニア,2024-06-28,,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0
80,画像認識システム導入,このプロジェクトではテスト、自動テスト導入、要件定義やデータ分析に取り組んでいます。,技術リーダー,2024-02-13,2024-08-09,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
81,画像認識システム改善,"現在進行中の案件においてはデータ分析や技術選定などに取り組んでいます。
[主な作業]
データ分析
技術選定
コーディング
ドキュメント作成
レビュー
これらの取り組みにより、品質改善を目指しています。",PM,2024-04-03,2024-08-27,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
