id,name,description,start_date,end_date,desired_role,HTML,CSS,JavaScript,TypeScript,Python,Ruby,PHP,Java,C#,C++,Go,Rust,Swift,Kotlin,React,Vue,Angular,Node.js,Express,Django,Flask,Rails,Laravel,Spring,.NET,AWS,Azure,GCP,Docker,Kubernetes,MySQL,PostgreSQL,MongoDB,Git,Linux,Agile,Scrum
11,モバイルファースト庁内業務業務自動化DX計画,現場ヒアリングから業務要件を整理し優先度を明確にする。テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。マルチベンダー体制を統括しリスクと課題の早期解消を図る。,2024-03-18,2025-03-11,システムアーキテクト,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0
12,UX向上スコアリング基幹刷新標準化対応,API連携基盤を標準化し社内外システムの接続を安定させる。データ品質メトリクスを定め継続的な監査対応を可能にする。,2022-06-18,,アナリティクスSWE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0
13,大手製造業向けストリーミングモバイル支援刷新案件,アーキテクチャレビューでセキュリティとパフォーマンスを両立する。クラウド運用ガイドラインに沿って権限設計を策定する。CI/CD基盤を整備して短いサイクルでのリリースを実現する。,2022-10-02,,バックエンドエンジニア,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1
14,UX向上災害対策業務自動化刷新案件,レガシー資産の段階移行方針と影響範囲を精査する。観測データを分析しリリース後の改善ポイントを定常化する。,2023-07-03,,ソリューションエンジニア,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0
15,大手製造業向け共通基盤SFA再構築DX計画,アーキテクチャレビューでセキュリティとパフォーマンスを両立する。レガシー資産の段階移行方針と影響範囲を精査する。UXリサーチの知見を取り入れ利便性重視の改善策を提示する。,2020-06-14,2021-07-02,PMO,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0
16,モバイルファースト顧客管理顧客接点強化伴走計画,CI/CD基盤を整備して短いサイクルでのリリースを実現する。KPIレビュー会を運営し経営層向けの報告資料を整備する。スクラムイベントを通じてチーム間の可視化と合意形成を支援する。,2022-03-03,2022-12-08,プロジェクトSE,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0
17,大手製造業向け監視指標マイクロサービス化DX計画,現場ヒアリングから業務要件を整理し優先度を明確にする。API連携基盤を標準化し社内外システムの接続を安定させる。,2022-08-15,2023-08-02,MLエンジニア,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0
18,データ駆動需給連携マイクロサービス化標準化対応,ゼロトラスト構成を想定したネットワーク設計を進める。データ品質メトリクスを定め継続的な監査対応を可能にする。業務フローを再定義し現行資産との共存を段階的に図る。,2022-11-09,2023-09-25,Goエンジニア,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0
19,公共団体向け公共料金モバイル支援標準化対応,クラウド運用ガイドラインに沿って権限設計を策定する。CI/CD基盤を整備して短いサイクルでのリリースを実現する。,2023-02-01,,システムアーキテクト,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
20,クラウド型コンテンツ管理申請ワークフロー刷新案件,観測データを分析しリリース後の改善ポイントを定常化する。モバイルとWebの共通コンポーネント戦略を策定する。UI/UX観点で仮説検証を繰り返し顧客満足度を高める。,2023-10-18,,テックリード,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1
21,クラウド型運用高度化オムニチャネル化更改プログラム,ゼロトラスト構成を想定したネットワーク設計を進める。業務フローを再定義し現行資産との共存を段階的に図る。,2023-06-19,,SRE,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1
22,モバイルファーストマーケティングAPI連携推進プロジェクト,テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。スクラムイベントを通じてチーム間の可視化と合意形成を支援する。API連携基盤を標準化し社内外システムの接続を安定させる。,2023-01-14,,フロントエンドSWE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
23,地方自治体向け暗号資産業務自動化刷新案件,利用部門と連携しアジャイルリリースの計画を整備する。段階リリースに備え移行リハーサルと利用者教育を実施する。,2021-03-19,2022-04-11,Rustエンジニア,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
24,モバイルファーストログ解析業務自動化開発イニシアチブ,KPIレビュー会を運営し経営層向けの報告資料を整備する。段階リリースに備え移行リハーサルと利用者教育を実施する。,2022-01-22,2022-08-18,ソフトウェアエンジニア,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
25,リアルタイム監視基盤基幹刷新DX計画,現場ヒアリングから業務要件を整理し優先度を明確にする。利用部門と連携しアジャイルリリースの計画を整備する。,2024-04-21,,サーバーサイドエンジニア,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0
26,リアルタイムスコアリングクラウド移行強化プロジェクト,モバイルとWebの共通コンポーネント戦略を策定する。マルチベンダー体制を統括しリスクと課題の早期解消を図る。テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。,2022-08-17,2023-08-10,MLエンジニア,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
27,エンタープライズ暗号資産オムニチャネル化開発イニシアチブ,クラウド運用ガイドラインに沿って権限設計を策定する。ゼロトラスト構成を想定したネットワーク設計を進める。,2023-07-03,,バックエンドエンジニア,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0
28,地方自治体向け分析基盤モバイル支援開発イニシアチブ,ゼロトラスト構成を想定したネットワーク設計を進める。KPIレビュー会を運営し経営層向けの報告資料を整備する。テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。,2020-11-04,2022-02-11,分析基盤エンジニア,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
29,大手製造業向け原価管理顧客接点強化DX計画,テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。モバイルとWebの共通コンポーネント戦略を策定する。,2022-06-07,,バックエンドエンジニア,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1
30,モバイルファースト工程進捗Webフロント刷新強化プロジェクト,観測データを分析しリリース後の改善ポイントを定常化する。現場ヒアリングから業務要件を整理し優先度を明確にする。マルチベンダー体制を統括しリスクと課題の早期解消を図る。,2021-11-25,2022-10-01,システムエンジニア,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
31,エンタープライズ庁内業務基幹刷新モダナイゼーション,KPIレビュー会を運営し経営層向けの報告資料を整備する。スクラムイベントを通じてチーム間の可視化と合意形成を支援する。マルチベンダー体制を統括しリスクと課題の早期解消を図る。,2023-01-08,2024-04-01,ソリューションエンジニア,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1
32,大手製造業向け原価管理Webフロント刷新刷新案件,ゼロトラスト構成を想定したネットワーク設計を進める。現場ヒアリングから業務要件を整理し優先度を明確にする。アーキテクチャレビューでセキュリティとパフォーマンスを両立する。,2020-10-24,2021-09-16,バックエンドエンジニア,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0
33,データ駆動原価管理分析可視化刷新案件,CI/CD基盤を整備して短いサイクルでのリリースを実現する。業務フローを再定義し現行資産との共存を段階的に図る。モバイルとWebの共通コンポーネント戦略を策定する。,2024-02-17,2025-04-18,テクニカルリード,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1
34,次世代内製化次期基盤構築更改プログラム,データ品質メトリクスを定め継続的な監査対応を可能にする。スクラムイベントを通じてチーム間の可視化と合意形成を支援する。,2021-05-19,2022-03-29,テックリード,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1
35,リアルタイム工場監視顧客接点強化標準化対応,テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。API連携基盤を標準化し社内外システムの接続を安定させる。,2021-02-06,2022-07-15,PL,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0
36,UX向上営業支援業務自動化推進プロジェクト,マルチベンダー体制を統括しリスクと課題の早期解消を図る。段階リリースに備え移行リハーサルと利用者教育を実施する。,2022-10-15,2024-03-01,PL,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1
37,スマート請求照会クラウド移行共同開発,観測データを分析しリリース後の改善ポイントを定常化する。利用部門と連携しアジャイルリリースの計画を整備する。,2023-11-05,,ソフトウェアエンジニア,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1
38,クラウド型サポート窓口業務自動化標準化対応,マルチベンダー体制を統括しリスクと課題の早期解消を図る。利用部門と連携しアジャイルリリースの計画を整備する。,2024-05-18,2025-06-01,PL,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1
39,UX向上マーケティングモバイル支援DX計画,API連携基盤を標準化し社内外システムの接続を安定させる。観測データを分析しリリース後の改善ポイントを定常化する。,2022-12-06,,フロントエンドエンジニア,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
40,モバイルファーストサービス改善次期基盤構築標準化対応,現場ヒアリングから業務要件を整理し優先度を明確にする。API連携基盤を標準化し社内外システムの接続を安定させる。観測データを分析しリリース後の改善ポイントを定常化する。,2023-07-12,2024-10-16,フロントエンドSWE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1
41,エンタープライズ店舗チェッククラウド移行推進プロジェクト,マルチベンダー体制を統括しリスクと課題の早期解消を図る。業務フローを再定義し現行資産との共存を段階的に図る。スクラムイベントを通じてチーム間の可視化と合意形成を支援する。,2023-07-22,2024-11-14,モバイルSWE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
42,次世代共通基盤基幹刷新開発イニシアチブ,スクラムイベントを通じてチーム間の可視化と合意形成を支援する。CI/CD基盤を整備して短いサイクルでのリリースを実現する。,2024-04-25,,SRE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
43,UX向上勤怠管理マイクロサービス化更改プログラム,利用部門と連携しアジャイルリリースの計画を整備する。データ品質メトリクスを定め継続的な監査対応を可能にする。,2022-08-29,,iOSエンジニア,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
44,UX向上共通基盤基幹刷新伴走計画,データ品質メトリクスを定め継続的な監査対応を可能にする。観測データを分析しリリース後の改善ポイントを定常化する。,2024-01-03,2024-10-16,プラットフォームエンジニア,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1
45,次世代マイナンバー分析可視化更改プログラム,利用部門と連携しアジャイルリリースの計画を整備する。クラウドネイティブ化の選定指針をまとめ関係者に共有する。,2023-09-12,2024-02-26,.NETエンジニア,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1
46,金融機関向け暗号資産SFA再構築更改プログラム,利用部門と連携しアジャイルリリースの計画を整備する。業務フローを再定義し現行資産との共存を段階的に図る。,2023-05-19,2023-10-29,テックリード,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0
47,公共団体向けBtoC接客分析可視化共同開発,テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。段階リリースに備え移行リハーサルと利用者教育を実施する。現場ヒアリングから業務要件を整理し優先度を明確にする。,2022-04-21,,ソフトウェアエンジニア,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0
48,スマート店舗在庫申請ワークフロー共同開発,ゼロトラスト構成を想定したネットワーク設計を進める。UI/UX観点で仮説検証を繰り返し顧客満足度を高める。スクラムイベントを通じてチーム間の可視化と合意形成を支援する。,2022-05-10,,プロジェクトSE,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1
49,地方自治体向け店舗在庫SFA再構築推進プロジェクト,アーキテクチャレビューでセキュリティとパフォーマンスを両立する。レガシー資産の段階移行方針と影響範囲を精査する。UI/UX観点で仮説検証を繰り返し顧客満足度を高める。,2023-08-26,2024-07-17,PL,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1
50,UX向上需給連携業務自動化刷新案件,テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。観測データを分析しリリース後の改善ポイントを定常化する。業務フローを再定義し現行資産との共存を段階的に図る。,2024-04-17,,Goエンジニア,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
51,地方自治体向け営業支援マイクロサービス化モダナイゼーション,API連携基盤を標準化し社内外システムの接続を安定させる。現場ヒアリングから業務要件を整理し優先度を明確にする。テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。,2021-01-03,2022-04-08,iOSエンジニア,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
52,公共団体向けブランドサイト分析可視化共同開発,現場ヒアリングから業務要件を整理し優先度を明確にする。レガシー資産の段階移行方針と影響範囲を精査する。,2021-02-27,2021-08-29,プロダクトエンジニア,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1
53,公共団体向け需要予測SFA再構築伴走計画,段階リリースに備え移行リハーサルと利用者教育を実施する。レガシー資産の段階移行方針と影響範囲を精査する。アーキテクチャレビューでセキュリティとパフォーマンスを両立する。,2023-12-27,2025-03-02,バックエンドエンジニア,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
54,金融機関向け監視標準化次期基盤構築更改プログラム,クラウド運用ガイドラインに沿って権限設計を策定する。現場ヒアリングから業務要件を整理し優先度を明確にする。CI/CD基盤を整備して短いサイクルでのリリースを実現する。,2022-10-09,,SRE,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1
55,UX向上マーケティングオムニチャネル化更改プログラム,モバイルとWebの共通コンポーネント戦略を策定する。段階リリースに備え移行リハーサルと利用者教育を実施する。,2023-05-31,2024-08-12,フロントエンドSWE,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1
56,金融機関向けサポート窓口次期基盤構築モダナイゼーション,CI/CD基盤を整備して短いサイクルでのリリースを実現する。現場ヒアリングから業務要件を整理し優先度を明確にする。,2021-07-31,2022-12-17,プロジェクトSE,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1
57,クラウド型製造IoTAPI連携刷新案件,観測データを分析しリリース後の改善ポイントを定常化する。クラウドネイティブ化の選定指針をまとめ関係者に共有する。現場ヒアリングから業務要件を整理し優先度を明確にする。,2021-11-29,2022-08-06,テックリード,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1
58,公共団体向け営業支援Webフロント刷新強化プロジェクト,UI/UX観点で仮説検証を繰り返し顧客満足度を高める。データ品質メトリクスを定め継続的な監査対応を可能にする。UXリサーチの知見を取り入れ利便性重視の改善策を提示する。,2023-10-03,2024-11-26,Androidエンジニア,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1
59,大手製造業向け構成管理顧客接点強化DX計画,スクラムイベントを通じてチーム間の可視化と合意形成を支援する。データ品質メトリクスを定め継続的な監査対応を可能にする。,2020-11-08,2022-04-08,プラットフォームエンジニア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1
60,モバイルファースト庁内業務次期基盤構築強化プロジェクト,観測データを分析しリリース後の改善ポイントを定常化する。現場ヒアリングから業務要件を整理し優先度を明確にする。,2023-11-17,,PMO,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1
61,AI社内統制モバイル支援共同開発,KPIレビュー会を運営し経営層向けの報告資料を整備する。テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。UI/UX観点で仮説検証を繰り返し顧客満足度を高める。,2023-04-15,2023-12-20,上級SE,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0
62,地方自治体向けマーケティングデータ統合強化プロジェクト,KPIレビュー会を運営し経営層向けの報告資料を整備する。テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。モバイルとWebの共通コンポーネント戦略を策定する。,2022-07-17,2023-11-19,プロダクトエンジニア,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0
63,モバイルファースト分析基盤次期基盤構築更改プログラム,UXリサーチの知見を取り入れ利便性重視の改善策を提示する。モバイルとWebの共通コンポーネント戦略を策定する。クラウドネイティブ化の選定指針をまとめ関係者に共有する。,2024-06-04,2024-11-15,MLエンジニア,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
64,モバイルファースト財務会計基幹刷新刷新案件,マルチベンダー体制を統括しリスクと課題の早期解消を図る。観測データを分析しリリース後の改善ポイントを定常化する。,2021-04-11,2021-09-29,バックエンドエンジニア,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1
65,社会インフラ向け物流追跡API連携共同開発,アーキテクチャレビューでセキュリティとパフォーマンスを両立する。マルチベンダー体制を統括しリスクと課題の早期解消を図る。,2024-03-20,2025-05-12,テックリード,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
66,社会インフラ向けサポート窓口データ統合伴走計画,データ品質メトリクスを定め継続的な監査対応を可能にする。アーキテクチャレビューでセキュリティとパフォーマンスを両立する。UI/UX観点で仮説検証を繰り返し顧客満足度を高める。,2023-12-05,2024-08-10,ソフトウェアエンジニア,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1
67,リアルタイム監視標準化SFA再構築強化プロジェクト,アーキテクチャレビューでセキュリティとパフォーマンスを両立する。観測データを分析しリリース後の改善ポイントを定常化する。ゼロトラスト構成を想定したネットワーク設計を進める。,2020-06-13,2021-03-07,SRE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1
68,AI検査記録業務自動化DX計画,UXリサーチの知見を取り入れ利便性重視の改善策を提示する。業務フローを再定義し現行資産との共存を段階的に図る。,2020-05-15,2021-06-07,PL,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
69,エンタープライズ原価管理業務自動化モダナイゼーション,UI/UX観点で仮説検証を繰り返し顧客満足度を高める。API連携基盤を標準化し社内外システムの接続を安定させる。,2024-01-28,2025-02-11,アプリケーションエンジニア,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0
70,モバイルファースト支払処理データ統合推進プロジェクト,UI/UX観点で仮説検証を繰り返し顧客満足度を高める。CI/CD基盤を整備して短いサイクルでのリリースを実現する。クラウドネイティブ化の選定指針をまとめ関係者に共有する。,2022-04-26,,バックエンドエンジニア,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1
71,UX向上ライン最適化マイクロサービス化推進プロジェクト,観測データを分析しリリース後の改善ポイントを定常化する。アーキテクチャレビューでセキュリティとパフォーマンスを両立する。,2021-02-10,2021-10-09,PL,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1
72,社会インフラ向けBI整備Webフロント刷新推進プロジェクト,UXリサーチの知見を取り入れ利便性重視の改善策を提示する。段階リリースに備え移行リハーサルと利用者教育を実施する。,2022-08-19,,MLエンジニア,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1
